,Name,objType
1154,27490,Star
1155,84748,Star
1156,12021,Star
1157,138268,Star
1158,12211,Star
1159,2051,Star
1160,73603,Star
1161,136753,Star
1162,141850,Star
1163,109729,Star
1164,120499,Star
1165,128609,Star
1166,34019,Star
1167,220105,Star
1168,196094,Star
1169,143454,Star
1170,39816,Star
1171,224960,Star
1172,117833,Star
1173,107199,Star
1174,1967,Star
1175,170141,Star
1176,193680,Star
1177,187796,Star
1178,257937,Star
1179,257498,Star
1180,201433,Star
1181,162220,Star
1182,177940,Star
1183,152476,Star
1184,149026,Star
1185,18242,Star
1186,224490,Star
1187,202012,Star
1188,31996,Star
1189,103483,Star
1190,148206,Star
1191,152276,Star
1192,109914,Star
1193,39881,Star
1194,92763,Star
1195,186686,Star
1196,64379,Star
1197,82901,Star
1198,194636,Star
1199,222561,Star
1200,14028,Star
1201,27490,Star
1202,84748,Star
1203,12021,Star
1204,138268,Star
1205,12211,Star
1206,2051,Star
1207,73603,Star
1208,136753,Star
1209,141850,Star
1210,109729,Star
1211,120499,Star
1212,128609,Star
1213,34019,Star
1214,220105,Star
1215,196094,Star
1216,143454,Star
1217,39816,Star
1218,224960,Star
1219,117833,Star
1220,107199,Star
1221,1967,Star
1222,170141,Star
1223,193680,Star
1224,187796,Star
1225,257937,Star
1226,257498,Star
1227,201433,Star
1228,162220,Star
1229,177940,Star
1230,152476,Star
1231,149026,Star
1232,18242,Star
1233,224490,Star
1234,202012,Star
1235,31996,Star
1236,103483,Star
1237,148206,Star
1238,152276,Star
1239,109914,Star
1240,39881,Star
1241,92763,Star
1242,186686,Star
1243,64379,Star
1244,82901,Star
1245,194636,Star
1246,222561,Star
1247,14028,Star
1248,27490,Star
1249,84748,Star
1250,12021,Star
1251,138268,Star
1252,12211,Star
1253,2051,Star
1254,73603,Star
1255,136753,Star
1256,141850,Star
1257,109729,Star
1258,120499,Star
1259,128609,Star
1260,34019,Star
1261,220105,Star
1262,196094,Star
1263,143454,Star
1264,39816,Star
1265,224960,Star
1266,117833,Star
1267,107199,Star
1268,1967,Star
1269,170141,Star
1270,193680,Star
1271,187796,Star
1272,257937,Star
1273,257498,Star
1274,201433,Star
1275,162220,Star
1276,177940,Star
1277,152476,Star
1278,149026,Star
1279,18242,Star
1280,224490,Star
1281,202012,Star
1282,31996,Star
1283,103483,Star
1284,148206,Star
1285,152276,Star
1286,109914,Star
1287,39881,Star
1288,92763,Star
1289,186686,Star
1290,64379,Star
1291,82901,Star
1292,194636,Star
1293,222561,Star
1294,14028,Star
1295,27490,Star
1296,84748,Star
1297,12021,Star
1298,138268,Star
1299,12211,Star
1300,2051,Star
1301,73603,Star
1302,136753,Star
1303,141850,Star
1304,109729,Star
1305,120499,Star
1306,128609,Star
1307,34019,Star
1308,220105,Star
1309,196094,Star
1310,143454,Star
1311,39816,Star
1312,224960,Star
1313,117833,Star
1314,107199,Star
1315,1967,Star
1316,170141,Star
1317,193680,Star
1318,187796,Star
1319,257937,Star
1320,257498,Star
1321,201433,Star
1322,162220,Star
1323,177940,Star
1324,152476,Star
1325,149026,Star
1326,18242,Star
1327,224490,Star
1328,202012,Star
1329,31996,Star
1330,103483,Star
1331,148206,Star
1332,152276,Star
1333,109914,Star
1334,39881,Star
1335,92763,Star
1336,186686,Star
1337,64379,Star
1338,82901,Star
1339,194636,Star
1340,222561,Star
1341,14028,Star
1342,27490,Star
1343,84748,Star
1344,12021,Star
1345,138268,Star
1346,12211,Star
1347,2051,Star
1348,73603,Star
1349,136753,Star
1350,141850,Star
1351,109729,Star
1352,120499,Star
1353,128609,Star
1354,34019,Star
1355,220105,Star
1356,196094,Star
1357,143454,Star
1358,39816,Star
1359,224960,Star
1360,117833,Star
1361,107199,Star
1362,1967,Star
1363,170141,Star
1364,193680,Star
1365,187796,Star
1366,257937,Star
1367,257498,Star
1368,201433,Star
1369,162220,Star
1370,177940,Star
1371,152476,Star
1372,149026,Star
1373,18242,Star
1374,224490,Star
1375,202012,Star
1376,31996,Star
1377,103483,Star
1378,148206,Star
1379,152276,Star
1380,109914,Star
1381,39881,Star
1382,92763,Star
1383,186686,Star
1384,64379,Star
1385,82901,Star
1386,194636,Star
1387,222561,Star
1388,14028,Star
1389,27490,Star
1390,84748,Star
1391,12021,Star
1392,138268,Star
1393,12211,Star
1394,2051,Star
1395,73603,Star
1396,136753,Star
1397,141850,Star
1398,109729,Star
1399,120499,Star
1400,128609,Star
1401,34019,Star
1402,220105,Star
1403,196094,Star
1404,143454,Star
1405,39816,Star
1406,224960,Star
1407,117833,Star
1408,107199,Star
1409,1967,Star
1410,170141,Star
1411,193680,Star
1412,187796,Star
1413,257937,Star
1414,257498,Star
1415,201433,Star
1416,162220,Star
